Column1,domain,base_url,text,language,title,Bias,Factual Rating,Credibility Rating,Conspiracy/Pseudoscience,Questionable/Fake
14,foxnews.com,https://www.foxnews.com/us/pentagon-rushed-deny-service-members-vaccine-religious-exemption-requests-report,"A Pentagon report found the military was likely too quick to deny service members religious exemptions to its COVID-19 vaccine mandate.
""We found a trend of generalized assessments rather than the individualized assessment that is required by Federal law and DoD and Military Service policies,"" Pentagon Inspector General Sean O'Donnell wrote in a memo to Defense Secretary Lloyd Austin in June, according to Military.com. ""Some of the appellate decisions included documentation that demonstrated a greater consideration of facts and circumstances involved in a request.""
Thousands of service members filed for religious exemptions to the COVID-19 vaccine after it was mandated by Austin in August 2021, but only a fraction of those who made the requests were approved.
MEMBERS OF CONGRESS DEMAND ANSWERS FROM AUSTIN OVER 'BLANKET DENIAL' OF RELIGIOUS VACCINE ACCOMMODATIONS
The military mandates vaccinations and medical treatments for a variety of illnesses, including flu and smallpox. Service members can be excused from those treatments only with an approved religious exemption, but the Inspector General found the process for denying such requests for the COVID-19 vaccine revealed ""concerning"" trends.
MARINE CORPS RESCINDS PENALTIES FOR SERVICE MEMBERS SEEKING COVID VAX RELIGIOUS ACCOMMODATIONS
""The volume and rate at which decisions were made to deny requests is concerning,"" the memo to Austin said. ""Assuming a 10-hour work day with no breaks or attention to other matters, the average review period was about 12 minutes for each package. Such a review period seems insufficient to process each request in an individualized manner and still perform the duties required of their position.""
A group of GOP lawmakers on Monday demanded answers from Austin on what they called ""blanket denial of religious accommodation"" in response to the memo.
CLICK HERE TO GET THE FOX NEWS APP
""As of February 2022, the Department of the Navy had granted only a single, partial exemption to its COVID-19 vaccine mandate on religious grounds, and as of July 2022 the Department of the U.S. Army had approved just 20 of over 8,000 requests, the Department of the Air Force had approved less than 130 of over 9,000 requests, and the U.S. Marines had only approved seven of over 3,700 requests,"" said the group, which was led by Republican Reps. Jim Banks of Indiana and Darrell Issa of California.
The Pentagon did not immediately respond to a Fox News' request for comment.",en,Pentagon rushed to deny service members' vaccine religious exemption requests: report,RIGHT,MIXED,MEDIUM CREDIBILITY,,
80,wilx.com,https://www.wilx.com/2022/02/08/air-force-approves-9-religious-exemptions-covid-vaccine/,"WASHINGTON (AP) — The Air Force became the second military service to approve religious exemptions to the mandatory COVID-19 vaccine, granting requests from nine airmen to avoid the shots, officials said Tuesday.
The nine approved so far represent just a tiny fraction of the more than 6,400 requested by Air Force troops, and they come as other service members are challenging the lack of religious exemptions in court cases. The Marine Corps is the only other military service to grant any religious accommodations, allowing three so far. The Army and Navy have not approved any.
The services have come under criticism for their failure to grant religious exemptions, with members of Congress, the military and the public questioning if the review processes have been fair. All together, the services have received more than 14,000 requests for religious exemptions.
Military leaders have argued that religious exemptions to any of the many vaccines troops are required to get have been very rare over the years. Service members are required to get as many as 17 different vaccines, depending on where they deploy.
A federal judge in Texas granted a preliminary injunction last month, stopping the Navy from acting against 35 sailors for refusing on religious grounds to comply with an order to get the COVID vaccine.
Eight of the Air Force approvals came during the initial review process, and one was granted on appeal to senior Air Force leaders. So far, religious exemption requests from more than 3,200 airmen were denied, and another 3,200 are pending.
“The Department of the Air Force determined the service members’ accommodations could be supported with no impact to mission readiness,” the statement Tuesday said.
Defense Secretary Lloyd Austin and military leaders have argued that the vaccine is critical to maintaining military readiness and the health of the force. And all of the services have now either discharged personnel for refusing the vaccine, or put a system in place to do so.
The Marine Corps has discharged 469, the Air Force has discharged 179 and the Navy has discharged 118, according to data released in the last week. The number include active-duty personnel and entry-level recruits who were still in boot camp. The Army has issued more than 3,000 formal letters of reprimand, and fired six soldiers, but has not discharged anyone yet.
All the military services have said the exemption decisions are based not only on the individual request, but also on its impact on the unit, its mission and readiness, and the health and safety of other troops.
Those who get an exemption and are allowed to stay in the service may, however, see an impact on their jobs.
The Navy and the Marine Corps have said unvaccinated service members are not allowed to deploy out to sea on ships, where infections can more easily spread. Those who have approved exemptions — either medical, administrative or religious — are assigned to shore duties.
At least 97% of the troops in each service have gotten at least one shot.
Copyright 2022 The Associated Press. All rights reserved.",en,Air Force approves 9 religious exemptions for COVID vaccine,CENTER,HIGH,HIGH CREDIBILITY,,
93,theepochtimes.com,https://www.theepochtimes.com/significant-proof-air-force-has-discriminated-against-troops-seeking-religious-exemptions-to-vaccine-mandate-court_4726307.html,"‘Significant Proof’ Air Force Has Discriminated Against Troops Seeking Religious Exemptions to Vaccine Mandate: Court
Air Force members seeking religious exemptions from the U.S. military’s COVID-19 vaccine mandate have provided “significant proof” that the service branch has discriminated against them, a federal appeals court ruled on Sept. 12.
A three-judge panel of the U.S. Court of Appeals for the 6th Circuit said in its decision that plaintiffs had to provide significant proof that the Air Force had a policy to deny all requests for religious exemptions, and all indications are that they have.
“To establish a general policy … the plaintiffs need not show that the Department rejects 100% of requests for religious exemptions. And the Department’s own statistics show that, as of May 23, 2022, it had rejected more than 99% of them,” U.S. Circuit Judge Raymond Kethledge, a George W. Bush appointee, wrote in the 11-page order.
“That the Department has granted only a comparative handful of religious exemptions, while granting thousands of medical and administrative ones, is itself at this stage of the case significant proof of discrimination.”
Kethledge was joined by Circuit Judges Eric Murphy and John K. Bush, both Trump appointees.
A U.S. district court in July blocked the mandate for thousands of Air Force members who remain unvaccinated and have had their religious exemptions denied or not acted upon. In response, the government asked for an emergency stay. When that was denied, the government went to the appeals court, arguing that the ruling was wrong.
Plaintiffs
The plaintiffs are all members who sought religious exemptions and were deemed by chaplains to hold sincere religious beliefs, although the military still rejected many of their requests. The others haven’t received final decisions but expect to be rejected, based on the treatment of like-minded airmen.
The group has said that evidence shows the military systemically denied requests for religious exemptions, denying federal law and the U.S. Constitution.
“This order by the Court of Appeals affirms that the Department of Defense and the Air Force violated religious free exercise rights of service members which is protected under the Religious Freedom Restoration Act and the First Amendment,” Mat Staver, founder and chairman of Liberty Counsel, which is representing the plaintiffs, said in a statement.
“This is a great victory for religious freedom, especially for these Air Force service members who love God and love America. These mandates will continue to crumble one by one in the courts.”
The latest ruling upholds U.S. District Court Judge Matthew McFarland’s Aug. 19 order, which rejected the military’s request for an emergency stay and extended through the duration of the legal battle the preliminary injunction against taking punitive action against the estimated more than 12,000 Air Force members who want religious exemptions.
The court did expedite the Air Force’s appeal of the class-wide preliminary injunction, directing the department to file its first brief within two weeks, plaintiffs to file within two weeks after that, and the Air Force to reply to that response within seven days. Oral arguments are scheduled for Oct. 19; a decision is expected in November.",en,‘Significant Proof’ Air Force Has Discriminated Against Troops Seeking Religious Exemptions to Vaccine Mandate: Court,RIGHT,MIXED,LOW CREDIBILITY,,TRUE
108,thegatewaypundit.com,https://www.thegatewaypundit.com/2022/09/trident-order-12-disqualified-seals-duty-seeking-vaccine-mandate-religious-exemption-quietly-canceled-us-navy/,"“Trident Order #12,” disqualified SEALs seeking religious exemptions from the COVID-19 vaccine. SEALs seeking the exemption would be barred from training, traveling for deployment and conducting other standard business thus making them un-deployable.
The Gateway Pundit has reported extensively on the negative impact that vaccine mandates have had on the US Military as well as the concerning use of the mandate to “intentionally purge” religious military members.
A recent TGP article detailed the grim details of the vaccine injuries faced by those in the military that were forced to receive it.
In August, Jim Hoft interviewed Lt. John Bowes on the fight against the mandate as well as the impact of the requirement on military readiness.
TRENDING: BREAKING: Dr. Fauci Will Be Deposed on November 23rd in Missouri-Louisiana Social Media Collusion Case with Gateway Pundit's Jim Hoft as Plaintiff
Lt. Bowes shared, “Yes, absolutely. And let’s dig into that for a second and talk about just pilots I think are a good example of the national security issue that we face. Right now we’re looking at a shortage of about 1900 pilots in the Air Force alone. And in 2017, the Chief of Staff of the Air Force said a shortage of 1500 pilots was a crisis, and we’ve grown that number by 400 now. And so to say that we are in a pilot crisis in terms of retention and manning and then to also discharge these pilots doesn’t seem to work out with our national security goals, especially in a time where intentions with Russia and China are rising almost daily.”
In March, the Biden administration asked the U.S. Supreme Court to reinforce its Covid-19 vaccine mandate to groups of Navy SEALs who remain unvaccinated, dishonestly claiming it “poses intolerable risks to safety and mission success.”
The Pentagon asked the Supreme Court to intervene after Judge Reed O’Connor granted a temporary injunction to a group of Navy SEALs from taking the Biden COVID vaccine mandate based on their requested religious exemptions.
“Trident Order #12” has now been quietly canceled by the US Navy.
Zero Hedge reports:
The US Navy quietly rolled back Trident Order #12, an order denying religious exemptions for covid vaccinations, a few months after an injunction was issued by the Fifth Circuit Court of Appeals in early 2022 as part of an ongoing lawsuit brought by First Liberty Institute. The suit was initiated on behalf of 35 active-duty SEALS and three reservists seeking exemptions to the mandate due to the possibility of covid vaccines being developed using cells and tissues from aborted fetuses. This information has only become publicly available after a new filing in the case this week. Trident Order #12 made any non-compliant SEALS and other troops impossible to deploy and designated them as medically disqualified. This development runs in tandem with a growing trend among government institutions; they back away from their original draconian mandates but in a manner that reduces media exposure and avoids any admission that the mandates are unconstitutional. A communication order was circulated by the Navy on May 23 with the subject: “NSWC CLOSEOUT TO TRIDENT ORDER #12 – MANDATORY VACCINATION FOR COVID-19.” NSWC refers to the Naval Special Warfare Command: “This order rescinds reference A,” it states, referring to “Ref A” as “Trident Order #12 on COVID-19 Vaccinations.” The May 23 communication order also said Navy commands “will continue to follow guidance, as appropriate, regarding COVID-19 vaccination, accommodation requests, and mitigation measures.”
The decision comes as every branch of the US military struggles to meet 2022 recruiting goals.",en,"Trident Order #12, Which Disqualified SEALs From Duty For Seeking Vaccine Mandate Religious Exemption, Quietly Canceled By US Navy",FAR RIGHT,,,,TRUE
134,fox43.com,https://www.fox43.com/article/life/new-novavax-covid-19-vaccine-addresses-religious-exemptions-protests/521-42f306e4-9903-48ae-a85b-64b2ce4a0235,"The Novavax COVID-19 vaccine uses traditional methods that could help address religious exemptions.
PENNSYLVANIA, USA — There is a new COVID-19 vaccine available on the market, and it looks a little different than its predecessors.
The newly-FDA-authorized Novavax vaccine uses traditional virus-blocking technology that has been used against other diseases for decades, such as Hepatitis B and tetanus.
Unlike the other COVID-19 vaccines, Novavax injects the spike protein directly into the body, rather than using mRNA technology.
Dr. John Goldman, an infectious disease expert at UPMC, said most people have gotten a similar shot.
“It's basically the same type of vaccine that you get for the flu and similar to other standard childhood vaccines,” Goldman said.
Health experts said Novavax’s COVID-19 vaccine could help address religious arguments made for exemptions.
“People that that is their specific religious objection, should feel comfortable getting this vaccine because there were no cell line—no human cell lines—used and no cell lines derived from aborted tissue,"" Goldman said. ""If that is the religious objection, this vaccine addresses that objection.”
However, legal experts said people that do ask for religious exemptions may face some complications.
“Now you don't have that reason,"" said Scott Cooper, lawyer and partner at Schmidt and Kramer, ""What's the actual reason? And what's the religion?”
Cooper also said at-will employees could risk termination if they refuse to get any of the four vaccines on the market.",en,New COVID-19 vaccine could override religious exemptions,CENTER,HIGH,HIGH CREDIBILITY,,
150,breitbart.com,https://www.breitbart.com/politics/2022/09/14/watchdog-warned-lloyd-austin-of-potential-noncompliance-as-dod-denied-religious-vaccine-exemptions/,"The Pentagon’s acting inspector general warned Defense Secretary Lloyd Austin of “potential noncompliance” when denying the religious exemption requests from service members who did not want to take the coronavirus vaccine, according to a memo obtained by Breitbart News.
The June 2, 2022, memo from Acting Inspector General Sean W. O’Donnell to Austin said the potential noncompliance by the Department of Defense was identified through complaints submitted to the DOD IG’s office.
“The Department of Defense (DOD) Hotline received dozens of complaints regarding denied religious accommodation requests from Service members. We found a trend of generalized assessments rather than the individualized assessment that is required by Federal law and DoD and Military Service policies,” O’Donnell wrote.
He added:
The denial memorandums we reviewed generally did not reflect an individualized analysis, demonstrating that the Senior Military Official considered the full range of facts and circumstances relevant to the particular religious accommodation request.
He said the volume and rate at which decisions were made to deny requests is “concerning,” finding an average of 50 denials a day processed over a 90-day period.
“Assuming a 10-hour work day with no breaks or attention to other matters, the average review period was about 12 minutes for each package. Such a review period seems insufficient to process each. request in an individualized manner and still perform the duties required of their position,” O’Donnell said.
O’Donnell cited in a footnote applicable laws and regulations, which include the Religious Freedom Restoration Act of 1993 (RFRA), which prohibits the government from substantially burdening a person’s exercise of religion even if the burden results from a rule of general applicability, unless the government “demonstrates that application of the burden to the person — (1) is in furtherance of a compelling government interest; and (2) is the least restrictive means of furthering that compelling government interest.”
He also cited DoD Instruction 1300.17, “Religious Liberty in the Military Services,” paragraph 3.2.d. , which requires that officials charged with making recommendations or taking final action on a service member’s request for accommodation of religious practices will review each request individually, considering the full range of facts and circumstances relevant to the specific request.
O’Donnell also noted that the DOD IG has recently announced an Audit of Military Departments’ Processing of Coronavirus Disease-2019 Vaccination Exemptions and Disciplinary Action for Active Duty Service Members.”
“The objective of this audit is to determine whether the Military Departments are processing exemption requests for the COVID-19 vaccination and taking disciplinary actions for active duty Service members in accordance with Federal and DoD guidance,” he added.
The memo, which was first reported by a military whistleblower who goes by the name “Terminal CWO,” is accompanied by another memo showing that it was not until three months later, on September 2, 2022, that Austin forwarded the DOD IG memo to the Under Secretary of Defense for Personnel and Readiness for “appropriate action.”
Austin said in his memo to the undersecretary:
Mandatory vaccination against coronavirus disease 2019 (COVID-19) is necessary to protect the Force and ensure its readiness to defend the American people. Uniform standards must be applied to all requests for medical or administrative exemption in a manner consistent with the law and DoD policy, including DoD Instruction 6205.02, ‘DoD Immunization Program,’ and DoD Instruction 1300.17, ‘Religious Liberty in the Military Services.’ The DoD Office of Inspector general transmitted the attached Info Memo regarding information it received and reviewed concerning denials of religious accommodation requests from COVID-19 vaccination requirements. I am referring the Info Memo to you for appropriate action, in coordination with the Secretaries of the Military Departments and the DoD Office of General Counsel, as necessary and appropriate.
Although Austin did not say whether he was aware of the DOD IG’s stated concerns, the occurrence of blanket denials of service members’ religious accommodation requests was no secret.
Breitbart News reported as early as November 2021 that the Marine Corps was using form and language when denying Marines’ requests for religious exemptions from the vaccine mandate, despite a legal requirement to consider each request individually.
The Biden administration first ordered the vaccine mandate in August 2021, giving active duty service members roughly six months and Army reservists almost a year to be “fully-vaccinated” or face punishment including involuntary discharge. At least 7,444 service members have already been kicked out, but tens of thousands more await adjudication of their religious and medical exemption requests.
Rep. Jim Banks (R-IN), chairman of the Republican Study Committee, member of the House Armed Services Committee, and naval reservist, took note of O’Donnell’s memo.
“The Biden DoD illegally violated servicemembers’ religious liberty. No wonder recruiting is at an all time low!” he tweeted.
The Biden DoD illegally violated servicemembers’ religious liberty. No wonder recruiting is at an all time low! https://t.co/ennJdPmKJh — Jim Banks (@RepJimBanks) September 13, 2022
Follow Breitbart News’s Kristina Wong on Twitter, Truth Social, or on Facebook.",en,Watchdog Warned DOD of Potential Noncompliance on Religious Exemptions,RIGHT,MIXED,LOW CREDIBILITY,,TRUE
167,military.com,https://www.military.com/daily-news/2022/02/08/air-force-grants-first-religious-exemptions-covid-19-vaccine-wont-provide-details.html,"The Air Force granted its first batch of religious exemptions for the COVID-19 vaccine to nine airmen but won't comment on the circumstances, including whether the service members were already on their way out of the ranks.
Eight of the requests were approved; another airman was rejected but won on appeal, according to a service news release Monday. So far, the Air Force has kicked out 142 airmen for refusing to get the vaccine.
""The Department of the Air Force determined the service members' accommodations could be supported with no impact to mission readiness,"" spokeswoman Ann Stefanek said in an emailed statement.
Read Next: Air Force Fought Families of Texas Church Shooting Victims 'Tooth and Nail,' Lawyer Says
But Stefanek declined to say whether these service members were already on terminal leave or already on their way out of the ranks, the basis for approval in other cases elsewhere in the military.
The Marine Corps made headlines last month when it became the first military branch to grant three religious exemptions, but all three went to Marines who were functionally no longer serving.
As of Feb. 1, 96% of airmen were fully vaccinated; however, no exemptions had been announced at that time.
Yet, a document filed with a federal court on Feb. 4 noted that the branch had granted six exemptions. The remaining three were apparently granted sometime in the last week.
The filing is part of a legal case in the northern district of Florida that aims to be a class-action lawsuit and names officers and enlisted personnel from all the military branches, as well as civilian contractors.
The suit asks the federal court to strike down the vaccine mandate as illegal. The case gained attention last week when the judge issued an injunction that stopped the Navy from removing a commander and a Marine lieutenant colonel from their jobs over their refusal.
In the injunction, the judge overseeing the suit, Steven Merryday, wrote that the two officers were ""very likely to prevail on their claim that their respective branch of the military has wrongfully denied a religious exemption from COVID-19 vaccination.""
""The record creates a strong inference that the services are discriminatorily and systematically denying religious exemptions without a meaningful and fair hearing,"" the judge added.
The Marine Corps recently changed its reenlistment code for those being booted from its ranks, making it easier for vaccine refusers to reenter the service if they subsequently get vaccinated.
Similarly, the Air Force added that ""there is no pre-established reenlistment code for those separated for vaccine refusal.""
""Each case is assessed on its own merits, as is the discharge characterization,"" Stefanek said, but did not discuss whether the Air Force is mirroring the Marine Corps' policy.
-- Thomas Novelly can be reached at thomas.novelly@military.com. Follow him on Twitter @TomNovelly.
-- Konstantin Toropin can be reached at konstantin.toropin@military.com. Follow him on Twitter @ktoropin.
Related: The 3 Religious Exemptions Granted by the Military Went to Marines on Their Way Out",en,"Air Force Grants First Religious Exemptions for COVID-19 Vaccine, But Won't Provide Details",CENTER,HIGH,HIGH CREDIBILITY,,
203,faithwire.com,https://www.faithwire.com/2022/09/22/military-alarmingly-rushed-to-deny-religious-exemptions-to-covid-vaccine-spent-only-12-minutes-per-request/,"The U.S. military acted too hastily in denying religious exemptions to service members who objected to taking the COVID-19 shots, according to a Department of Defense watchdog.
In a memo dated June 2, Pentagon Inspector General Sean O’Donnell acknowledged a “concerning” trend in the number of requested religious exemptions and the subsequent mass denials, reported Military.com.
Listen to the latest episode of CBN’s Quick Start podcast 👇
“We found a trend of generalized assessments rather than the individualized assessment that is required by federal law and DoD and military service policies,” he wrote in the memo to Secretary of Defense Lloyd Austin. “Some of the appellate decisions included documentation that demonstrated a greater consideration of facts and circumstances involved in a request.”
Austin issued a mandate for all service members to receive the COVID-19 shots beginning Aug. 24, 2021, one day after the U.S. Food and Drug Administration granted full approval to the two-dose Pfizer/BioNTech regimen. His order meant men and women in uniform were mandated to take the shots or be discharged from service.
According to the watchdog’s findings, military officials spent just minutes reviewing exemptions requests, the vast majority of which were ultimately denied or have yet to be processed.
“The volume and rate at which decisions were made to deny requests is concerning,” wrote O’Donnell. “Assuming a 10-hour work day with no breaks or attention to other matters, the average review period was about 12 minutes for each package. Such a review period seems insufficient to process each request in an individualized manner and still perform the duties required of their position.”
For example, in the Army, the largest branch of the U.S. military, service members submitted 8,514 religious exemption requests. Of those, 1,602 were rejected, while only 24 were approved. The remainder were still pending as of Aug. 12 of this year.
The inspector general found roughly 50 denials per day in a 90-day period across all military branches.
Legal challenges against the U.S. military over its vaccination policy have been plentiful. In mid-September, the Marine Corps ordered a pause on administrative action against unvaccinated Marines. That action came after a federal judge in Florida blocked the branch in late August from discharging those who applied for religious exemptions, as CBN News reported.
One service member, Lt. Col. Scott Duncan, appeared on Fox News host Tucker Carlson’s show in January of this year explaining why he sought — and was denied — a religious exemption for the COVID-19 shots.
Fighter pilot Lt. Col. Scott Duncan tells Tucker Carlson about his battle to try and get a religious exemption for the military's vaccine mandate. pic.twitter.com/2y8zyBAv5P — The Post Millennial (@TPostMillennial) January 25, 2022
“We do not have any peace about the vaccine itself,” he said. “We also believe we have an inherent right to our own body. We believe that is a right that is conferred on us by a maker and creator and that is the foundation of the Constitution, which we defend.”
***As the number of voices facing big-tech censorship continues to grow, please sign up for Faithwire’s daily newsletter and download the CBN News app, developed by our parent company, to stay up-to-date with the latest news from a distinctly Christian perspective.***",en,"Military Alarmingly Rushed to Deny Religious Exemptions to COVID Vaccine, Spent Only 12 Minutes Per Request",RIGHT,MIXED,,,
368,coffeeordie.com,https://coffeeordie.com/covid-vaccine-religious-exemption/,"The military will have to wait at least another week if it wants to punish two officers who have resisted a militarywide COVID-19 vaccine mandate on religious grounds, a federal judge ruled Thursday, Feb. 10, extending a protective order over their careers.
Both senior officers — a Marine lieutenant colonel and a Navy commander — were scheduled to be disciplined last week, but Judge Steven Merryday of the US District Court for the Middle District of Florida issued a week of injunctive relief to both, indicating that the service members were “very likely” to prevail in a pending lawsuit in which they are challenging the process by which the military is deciding religious exemptions for the vaccine mandate.
Following a nearly nine-hour hearing on Thursday, Merryday extended that order until Friday, Feb. 18.
Both plaintiffs testified anonymously in the hearing regarding their vaccine refusals, each describing themselves as devout Christians.
“For me, it would be a sin,” said the Marine, who serves as a diversity and inclusion officer with the Marine Forces Special Operations Command, according to the Tampa Bay Times. “Because it would defile my body. Because my body is a temple of Jesus Christ.”
The lieutenant colonel said she was held back from a scheduled deployment to Bahrain after refusing to take the vaccine. In January, she tested positive for COVID-19.
A Marine Corps diversity officer and a Navy commander both argue they shouldn’t be forced to take the COVID-19 vaccine, citing deeply held religious beliefs. A federal judge agreed, granting them a temporary restraining order until Feb. 18, 2022. US Navy photo by Mass Communication Specialist 1st Class Hana’lei Shimana.
The Navy officer is the commanding officer of a guided-missile destroyer.
“My body is a temple,” the commander testified. “I cannot knowingly put something in my body that I believe is a toxin.”
The Navy officer, who has served in the military for about 18 years, said he submitted his religious exemption request in September but was denied, as were all 16 sailors aboard his ship who made similar requests.
The two officers are now represented by Liberty Counsel, a law firm that focuses on religious liberty cases. Both defendants said they objected to vaccines created from aborted fetal stem cell lines in their exemption requests.
Merryday noted during the hearing that it was not his job to determine whether a person’s religious beliefs were valid. But in his order last week, Merryday warned the military that the case appeared to present “a strong inference that the services are discriminatorily and systematically denying religious exemptions without a meaningful and fair hearing.”
By any measure, all four services have granted vanishingly few religious exemptions to the COVID-19 vaccine mandate, despite a crush of applications that Liberty Counsel puts at 24,818. In press releases and court documents made public this month, the total of approved exemptions appears to be fewer than 15.
A sailor receives the COVID-19 vaccine at Naval Base San Diego, Jan. 22, 2021. US Navy photo by Mass Communication Specialist Seaman Luke Cunningham.
As of Wednesday, the Navy has granted no waivers for any of the 3,348 active-duty requests for religious exemptions, according to the Navy.
The Air Force released numbers Tuesday afternoon showing that the service had granted a total of nine religious exemptions — eight directly and one after an appeal — against 3,222 disapproved requests and 443 disapproved appeals, with about 3,300 more requests and appeals pending. Those nine approvals were the first reported by the service since its Nov. 2, 2021, vaccine deadline.
According to a Feb. 3 Marine Corps press release, of 3,458 requests, the Marines have granted just three religious exemptions.
The Army does not publish its exemption numbers, but according to Feb. 4 court filings in a separate lawsuit, the Army has not granted any exemptions from 3,253 requests, and it has denied 391.
In all, the success rate of religious exemption requests across the military appears to be well below 1%.
In Thursday’s hearing, Department of Justice attorney Amy Powell said the government’s position was simple: Service members must get vaccinated or face disciplinary action.
COVID-19 immunization cards are distributed to vaccine recipients following their vaccinations Dec. 16, 2020, at Naval Health Clinic Hawaii. US Navy photo by Macy Hinds. COVID-19 immunization cards are distributed to vaccine recipients following their vaccinations Dec. 16, 2020, at Naval Health Clinic Hawaii. US Navy photo by Macy Hinds.
“We would rather people not be in the military than place other service members at risk,” Powell said, according to the Tampa Bay Times.
However, the military is unlikely to prove that allowing the “relatively small” number of requested religious exemptions would impact the readiness of the nation’s military forces, Merryday wrote.
“In fact, the public undoubtedly has some considerable interest in maintaining the services of skilled, experienced, highly trained, patriotic, courageous, and esteemed service members, such as the two moving service members, in whom the public has an immense financial investment and who are not, to say the least, readily replaceable,” he added.
While this temporary stay only protects the two plaintiffs, Liberty Counsel hopes to expand the case into a class-action suit that could apply to all military members.
Read Next: He’s a Pretty Good Petty Officer, so Why’s Big Navy Kicking Him Out?",en,"Military Must Wait To Punish Officers in Religious Exemption Case, Judge Rules",RIGHT,,,,
416,wtrf.com,https://www.wtrf.com/ohio/ohio-air-force-officers-sue-over-religious-exemption-denials/,"A dozen U.S. Air Force officers have filed a lawsuit against the federal government after the military denied their religious exemptions to the mandatory COVID-19 vaccine.
The officers are mostly from Wright-Patterson Air Force Base near Dayton, Ohio.
They’ve accused the Air Force of using a double standard when approving the requests.
They say thousands of medical and administrative exemptions have been allowed but only a handful of religious exemptions have been granted.
Military leaders say the vaccine is critical to maintaining the readiness and the health of the force.
But members of Congress and the military have questioned the exemption review process.",en,Ohio Air Force officers sue over religious exemption denials,CENTER,,,,
